transaction_id,timestamp,card_id,amount,merchant_name,merchant_category,channel,cardholder_country,merchant_country,device_id,ip_address,fraud_score,risk_level,flag_reasons,card_velocity_score,card_velocity_reason,merchant_burst_score,merchant_burst_reason,shared_device_ip_score,shared_device_ip_reason,is_flagged
tx_000680,2026-04-26 12:47:39,card_036,20.0,Desjardins ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000770,2026-04-26 13:04:38,card_041,374.46,Petro-Canada,gas,in_person,CA,CA,,,35,low,Amount is 14.6x this card's median,0,,0,,0,,False
tx_000406,2026-04-26 13:57:43,card_021,35.82,Metro,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000848,2026-04-26 14:56:02,card_045,60.0,RBC ATM,atm,atm,FR,FR,,,10,low,ATM transaction,0,,0,,0,,False
tx_000319,2026-04-26 17:26:44,card_017,80.0,Desjardins ATM,atm,atm,CA,CA,,,20,low,Amount is 3.7x this card's median; ATM transaction,0,,0,,0,,False
tx_000747,2026-04-26 18:11:02,card_040,29.49,Cineplex,entertainment,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000390,2026-04-26 18:24:19,card_020,52.46,Amazon.ca,online_retail,online,US,CA,dev_2877f7d9,98.207.57.78,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000401,2026-04-26 19:40:54,card_021,57.93,Cafe Olimpico,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000552,2026-04-26 20:13:27,card_029,3.9,Amazon.com,online_retail,online,CA,US,dev_72eedf3c,142.112.106.145,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000806,2026-04-26 20:28:43,card_043,16.27,Shopify Merchant 1,online_retail,online,CA,CA,dev_c832252e,142.112.44.145,0,low,,0,,0,,0,,False
tx_000904,2026-04-26 20:41:09,card_049,22.19,Shopify Merchant 1,online_retail,online,CA,CA,dev_2d66c302,142.112.66.43,0,low,,0,,0,,0,,False
tx_000901,2026-04-26 20:54:08,card_048,40.0,RBC ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000454,2026-04-26 21:13:18,card_024,80.0,RBC ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000375,2026-04-26 22:16:36,card_020,30.11,McDonald's,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000587,2026-04-26 22:41:09,card_031,8.58,Metro,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000543,2026-04-26 23:35:32,card_029,42.13,Chipotle,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000280,2026-04-26 23:46:30,card_015,32.18,Videotron,utilities,online,CA,CA,dev_22a1b746,24.114.92.194,0,low,,0,,0,,0,,False
tx_000800,2026-04-27 01:18:41,card_042,11.08,Etsy,online_retail,online,US,US,dev_33892b01,208.54.177.176,0,low,,0,,0,,0,,False
tx_000705,2026-04-27 04:29:44,card_038,11.71,La Banquise,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000286,2026-04-27 05:22:43,card_015,58.15,Cafe Olimpico,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000413,2026-04-27 06:05:05,card_022,15.99,Spotify,subscription,online,CA,SE,dev_7730dc61,24.114.242.137,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000765,2026-04-27 08:03:19,card_041,15.99,Spotify,subscription,online,CA,SE,dev_614ef198,70.50.233.125,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000268,2026-04-27 08:51:14,card_014,10.15,McDonald's,restaurant,in_person,FR,FR,,,0,low,,0,,0,,0,,False
tx_000745,2026-04-27 10:52:57,card_040,42.54,Schwartz's,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000870,2026-04-27 11:37:42,card_047,50.57,AliExpress,online_retail,online,CA,CN,dev_dcad83da,70.50.163.45,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000221,2026-04-27 14:25:17,card_011,83.08,La Banquise,restaurant,in_person,CA,CA,,,20,low,Amount is 8.0x this card's median,0,,0,,0,,False
tx_000102,2026-04-27 14:29:34,card_005,13.47,Bell Canada,utilities,online,CA,CA,dev_379050df,70.50.100.196,0,low,,0,,0,,0,,False
tx_000235,2026-04-27 14:31:18,card_012,18.72,QuickPay Online,online_retail,online,CA,CA,dev_08e633ee,24.114.188.24,0,low,,0,,0,,0,,False
tx_000717,2026-04-27 15:22:21,card_038,17.43,Starbucks,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000124,2026-04-27 15:39:26,card_007,49.23,Bell Canada,utilities,online,US,CA,dev_5d017d53,172.58.207.216,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000091,2026-04-27 16:10:58,card_005,23.91,Etsy,online_retail,online,CA,US,dev_45d2fa60,70.50.150.173,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000909,2026-04-27 16:24:38,card_049,9.99,Spotify,subscription,online,CA,SE,dev_2d66c302,142.112.36.209,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000764,2026-04-27 19:47:46,card_041,85.73,Loblaws,grocery,in_person,CA,CA,,,10,low,Amount is 3.3x this card's median,0,,0,,0,,False
tx_000111,2026-04-27 21:22:15,card_006,22.43,Etsy,online_retail,online,CA,US,dev_1321b774,142.112.233.250,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000577,2026-04-27 22:00:32,card_031,25.75,Bell Canada,utilities,online,CA,CA,dev_3692eb01,70.50.84.88,0,low,,0,,0,,0,,False
tx_000023,2026-04-27 22:48:21,card_001,100.0,Desjardins ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000412,2026-04-28 00:24:46,card_022,15.99,Netflix,subscription,online,CA,US,dev_7730dc61,24.114.188.85,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000377,2026-04-28 00:46:14,card_020,40.0,RBC ATM,atm,atm,US,US,,,10,low,ATM transaction,0,,0,,0,,False
tx_000813,2026-04-28 00:52:11,card_043,27.3,Cineplex,entertainment,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000788,2026-04-28 01:15:32,card_042,10.98,Whole Foods,grocery,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000883,2026-04-28 01:25:24,card_047,7.67,Metro,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000635,2026-04-28 03:23:09,card_034,18.63,AliExpress,online_retail,online,CA,CN,dev_a0256e48,99.225.24.42,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000750,2026-04-28 04:20:31,card_040,9.99,Netflix,subscription,online,CA,US,dev_abd8db53,70.50.138.4,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000110,2026-04-28 04:22:19,card_006,42.9,Cafe Olimpico,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000664,2026-04-28 04:55:37,card_036,69.81,Whole Foods,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000466,2026-04-28 05:05:43,card_025,30.09,Hydro-Quebec,utilities,online,CA,CA,dev_d9156309,70.50.69.85,0,low,,0,,0,,0,,False
tx_000075,2026-04-28 05:23:00,card_004,20.0,Desjardins ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000352,2026-04-28 06:04:40,card_019,15.99,Spotify,subscription,online,CA,SE,dev_95204a30,24.114.135.78,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000355,2026-04-28 06:46:21,card_019,19.99,Spotify,subscription,online,CA,SE,dev_95204a30,99.225.230.92,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000132,2026-04-28 08:49:10,card_007,37.6,Petro-Canada,gas,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000101,2026-04-28 10:08:24,card_005,6.11,Loblaws,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000487,2026-04-28 10:15:04,card_026,36.55,Chipotle,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000259,2026-04-28 10:18:21,card_013,201.67,AliExpress,online_retail,online,CA,CN,dev_e5c2222f,99.225.179.199,25,low,Amount is 4.2x this card's median; Merchant country differs from cardholder country,0,,0,,0,,False
tx_000385,2026-04-28 11:12:53,card_020,5.57,McDonald's,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000916,2026-04-28 12:10:09,card_049,60.0,Desjardins ATM,atm,atm,CA,CA,,,20,low,Amount is 3.8x this card's median; ATM transaction,0,,0,,0,,False
tx_000448,2026-04-28 13:18:04,card_024,37.51,Whole Foods,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000395,2026-04-28 13:52:10,card_021,66.91,Etsy,online_retail,online,CA,US,dev_f61b4d97,70.50.81.171,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000141,2026-04-28 14:57:11,card_007,24.16,Metro,grocery,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000621,2026-04-28 15:17:04,card_033,11.94,IGA,grocery,in_person,GB,GB,,,0,low,,0,,0,,0,,False
tx_000056,2026-04-28 16:22:50,card_003,60.0,Desjardins ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000198,2026-04-28 17:05:07,card_010,12.19,Shell,gas,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000057,2026-04-28 17:33:50,card_003,15.99,Disney+,subscription,online,CA,US,dev_d52ac3b8,99.225.207.204,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000499,2026-04-28 18:05:51,card_027,132.32,Cineplex,entertainment,in_person,CA,CA,,,10,low,Amount is 4.0x this card's median,0,,0,,0,,False
tx_000292,2026-04-28 18:21:34,card_015,76.91,Shell,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000061,2026-04-28 18:40:26,card_003,74.47,QuickPay Online,online_retail,online,CA,CA,dev_6fdbe52d,142.112.113.7,0,low,,0,,0,,0,,False
tx_000570,2026-04-28 18:57:37,card_030,11.54,La Banquise,restaurant,in_person,DE,DE,,,0,low,,0,,0,,0,,False
tx_000348,2026-04-28 19:47:38,card_019,124.45,QuickPay Online,online_retail,online,CA,CA,dev_95204a30,142.112.190.254,10,low,Amount is 3.9x this card's median,0,,0,,0,,False
tx_000289,2026-04-28 20:45:17,card_015,30.31,Esso,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000711,2026-04-28 22:32:05,card_038,21.29,Cafe Olimpico,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000372,2026-04-28 23:03:12,card_020,9.99,Netflix,subscription,online,US,US,dev_2877f7d9,172.58.160.30,0,low,,0,,0,,0,,False
tx_000497,2026-04-28 23:56:17,card_027,40.0,RBC ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000580,2026-04-29 00:22:12,card_031,67.56,Starbucks,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000651,2026-04-29 02:03:45,card_035,71.19,AliExpress,online_retail,online,CA,CN,dev_37f4b88c,142.112.106.173,25,low,Amount is 3.4x this card's median; Merchant country differs from cardholder country,0,,0,,0,,False
tx_000731,2026-04-29 05:10:34,card_039,38.44,Bell Canada,utilities,online,GB,CA,dev_2ab5d40f,86.150.180.238,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000186,2026-04-29 05:37:32,card_010,25.36,McDonald's,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000142,2026-04-29 06:00:23,card_007,54.22,Videotron,utilities,online,US,CA,dev_5d017d53,73.15.74.87,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000609,2026-04-29 06:28:45,card_033,69.77,Tim Hortons,restaurant,in_person,GB,GB,,,0,low,,0,,0,,0,,False
tx_000329,2026-04-29 08:30:47,card_018,20.0,BMO ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000210,2026-04-29 08:37:18,card_011,4.13,Shell,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000006,2026-04-29 09:17:47,card_000,82.96,Esso,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000799,2026-04-29 09:34:00,card_042,33.17,Schwartz's,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000416,2026-04-29 11:27:14,card_022,86.33,Schwartz's,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000573,2026-04-29 11:33:07,card_031,33.81,IGA,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000538,2026-04-29 13:32:11,card_029,80.0,Desjardins ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000321,2026-04-29 13:47:48,card_017,200.0,RBC ATM,atm,atm,CA,CA,,,30,low,Amount is 9.2x this card's median; ATM transaction,0,,0,,0,,False
tx_000066,2026-04-29 13:48:16,card_003,53.66,Amazon.ca,online_retail,online,CA,CA,dev_d52ac3b8,99.225.198.65,0,low,,0,,0,,0,,False
tx_000520,2026-04-29 16:27:07,card_028,200.0,BMO ATM,atm,atm,CA,CA,,,20,low,Amount is 3.4x this card's median; ATM transaction,0,,0,,0,,False
tx_000068,2026-04-29 16:39:06,card_003,13.99,Netflix,subscription,online,CA,US,dev_6fdbe52d,24.114.189.137,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000127,2026-04-29 18:15:41,card_007,45.67,Provigo,grocery,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000325,2026-04-29 19:01:27,card_017,11.04,eBay,online_retail,online,CA,US,dev_d0ff1fad,70.50.14.21,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000695,2026-04-29 19:01:35,card_037,36.67,IGA,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000418,2026-04-29 19:06:48,card_022,21.41,Chevron,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000476,2026-04-29 20:36:07,card_025,26.02,Etsy,online_retail,online,CA,US,dev_0bded435,142.112.183.64,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000103,2026-04-29 21:47:56,card_005,20.01,Bell Canada,utilities,online,CA,CA,dev_379050df,99.225.115.253,0,low,,0,,0,,0,,False
tx_000490,2026-04-29 22:08:31,card_026,22.06,Cineplex,entertainment,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000879,2026-04-29 23:03:11,card_047,21.98,Whole Foods,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000083,2026-04-29 23:46:42,card_004,19.99,Spotify,subscription,online,CA,SE,dev_56520353,142.112.139.14,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000172,2026-04-29 23:53:07,card_009,8.41,Starbucks,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000689,2026-04-30 00:26:40,card_037,27.13,Cafe Olimpico,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000900,2026-04-30 00:43:15,card_048,16.86,Cafe Olimpico,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000140,2026-04-30 01:13:32,card_007,52.34,Bell Canada,utilities,online,US,CA,dev_5d017d53,172.58.161.205,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000397,2026-04-30 02:04:30,card_021,39.25,Chipotle,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000536,2026-04-30 02:15:38,card_028,25.26,Etsy,online_retail,online,CA,US,dev_bea30580,142.112.98.156,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000496,2026-04-30 02:41:13,card_026,73.92,Chipotle,restaurant,in_person,US,US,,,10,low,Amount is 3.3x this card's median,0,,0,,0,,False
tx_000612,2026-04-30 03:04:12,card_033,15.66,Whole Foods,grocery,in_person,GB,GB,,,0,low,,0,,0,,0,,False
tx_000565,2026-04-30 03:13:51,card_030,52.12,Joe Beef,restaurant,in_person,DE,DE,,,0,low,,0,,0,,0,,False
tx_000143,2026-04-30 04:10:27,card_007,43.21,Hydro-Quebec,utilities,online,US,CA,dev_5d017d53,208.54.83.24,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000859,2026-04-30 04:25:34,card_046,11.99,Disney+,subscription,online,CA,US,dev_b8fe1cb0,24.114.156.210,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000310,2026-04-30 05:08:49,card_016,25.62,Metro,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000862,2026-04-30 05:38:47,card_046,100.0,BMO ATM,atm,atm,CA,CA,,,10,low,ATM transaction,0,,0,,0,,False
tx_000260,2026-04-30 05:39:05,card_013,76.05,Etsy,online_retail,online,CA,US,dev_e5c2222f,24.114.247.17,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000422,2026-04-30 06:27:09,card_022,68.47,Chevron,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000878,2026-04-30 07:19:27,card_047,12.98,eBay,online_retail,online,CA,US,dev_dcad83da,99.225.117.49,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000513,2026-04-30 07:20:40,card_027,26.97,Starbucks,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000855,2026-04-30 07:29:19,card_046,19.99,Disney+,subscription,online,CA,US,dev_1abbf8e4,24.114.156.20,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000161,2026-04-30 08:05:43,card_008,86.69,Esso,gas,in_person,CA,CA,,,10,low,Amount is 3.4x this card's median,0,,0,,0,,False
tx_000135,2026-04-30 08:21:18,card_007,46.88,Loblaws,grocery,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000188,2026-04-30 09:30:03,card_010,200.0,BMO ATM,atm,atm,US,US,,,30,low,Amount is 7.2x this card's median; ATM transaction,0,,0,,0,,False
tx_000865,2026-04-30 10:50:59,card_046,11.99,Disney+,subscription,online,CA,US,dev_b8fe1cb0,142.112.82.124,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000753,2026-04-30 11:05:20,card_040,22.28,Petro-Canada,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000374,2026-04-30 11:14:21,card_020,13.53,Shopify Merchant 2,online_retail,online,US,CA,dev_2877f7d9,98.207.22.39,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000563,2026-04-30 12:28:33,card_030,44.63,Metro,grocery,in_person,DE,DE,,,0,low,,0,,0,,0,,False
tx_000685,2026-04-30 13:45:22,card_037,93.03,La Banquise,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000709,2026-04-30 15:40:45,card_038,15.88,Cineplex,entertainment,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000062,2026-04-30 18:00:17,card_003,26.48,Shopify Merchant 2,online_retail,online,CA,CA,dev_6fdbe52d,70.50.209.167,0,low,,0,,0,,0,,False
tx_000814,2026-04-30 18:17:28,card_043,18.73,Videotron,utilities,online,CA,CA,dev_c832252e,70.50.124.17,0,low,,0,,0,,0,,False
tx_000693,2026-04-30 18:40:32,card_037,109.99,Cineplex,entertainment,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000038,2026-04-30 18:55:21,card_002,24.11,Whole Foods,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000294,2026-04-30 20:40:28,card_015,19.15,AliExpress,online_retail,online,CA,CN,dev_22a1b746,70.50.67.218,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000052,2026-04-30 20:53:42,card_002,15.66,Tim Hortons,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000284,2026-04-30 21:33:04,card_015,58.27,Videotron,utilities,online,CA,CA,dev_22a1b746,24.114.162.68,0,low,,0,,0,,0,,False
tx_000727,2026-04-30 21:54:38,card_039,9.39,Shopify Merchant 1,online_retail,online,GB,CA,dev_2ab5d40f,86.150.252.231,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000554,2026-04-30 23:47:05,card_029,19.99,Disney+,subscription,online,CA,US,dev_600be23f,70.50.124.201,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000877,2026-05-01 00:10:37,card_047,43.8,IGA,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
